x,y,especie,date,precision
17.801,59.459,"Abies alba",2025-02-21,25
16.83981,59.0287,"Abies alba",2025-02-27,25
6.736512,45.089685,"Abies alba",2025-02-22,NA
1.415594,46.010575,"Abies alba",2025-02-26,NA
4.479675,45.249389,"Abies alba",2025-02-24,895
15.007001,50.635264,"Abies alba",2025-02-09,NA
15.028465,50.634975,"Abies alba",2025-02-22,10
7.369307,46.946557,"Abies alba",2025-02-28,8
20.034758,49.54395,"Abies alba",2025-02-22,31
14.830743,50.749153,"Abies alba",2025-02-23,NA
16.103942,46.94851,"Abies alba",2025-02-21,10000
16.103942,46.94851,"Abies alba",2025-02-21,10000
7.28175,45.691657,"Abies alba",2025-02-22,5
-4.117035,50.415422,"Abies alba",2025-02-04,22
10.139138,51.320835,"Abies alba",2025-02-09,2
12.175723,47.766196,"Abies alba",2025-02-24,10
15.557025,47.188755,"Abies alba",2025-02-10,2490
13.092758,49.168705,"Abies alba",2025-02-21,6
0.31853,42.951374,"Abies alba",2025-02-19,5
1.401444,42.936416,"Abies alba",2025-02-05,9
1.156931,43.104,"Abies alba",2025-02-15,11
1.399828,42.916297,"Abies alba",2025-02-18,6
6.119176,46.502336,"Abies alba",2025-02-20,NA
-0.711375,42.824019,"Abies alba",2025-02-24,NA
16.437328,47.376113,"Abies alba",2025-02-14,4
5.92737,50.27548,"Abies alba",2025-02-22,2
7.53827,47.55817,"Abies alba",2025-02-20,3535
6.49462,46.47489,"Abies alba",2025-02-16,3535
9.45411,47.27078,"Abies alba",2025-02-22,3535
8.63906,46.29255,"Abies alba",2025-02-27,3535
7.34007,46.97353,"Abies alba",2025-02-26,3535
8.00043,47.28702,"Abies alba",2025-02-22,3535
7.14369,46.83826,"Abies alba",2025-02-12,3535
8.00043,47.28702,"Abies alba",2025-02-22,3535
8.96091,46.1987,"Abies alba",2025-02-26,3535
8.63609,46.15763,"Abies alba",2025-02-27,3535
7.14736,46.1636,"Abies alba",2025-02-22,3535
6.42616,46.65422,"Abies alba",2025-02-21,3535
8.67169,47.73155,"Abies alba",2025-02-22,3535
6.49147,46.65479,"Abies alba",2025-02-23,3535
7.60442,47.46816,"Abies alba",2025-02-28,3535
7.27381,47.15335,"Abies alba",2025-02-23,3535
9.57541,46.99865,"Abies alba",2025-02-21,3535
6.49147,46.65479,"Abies alba",2025-02-23,3535
9.57541,46.99865,"Abies alba",2025-02-21,3535
6.75102,46.79159,"Abies alba",2025-02-27,3535
6.49147,46.65479,"Abies alba",2025-02-23,3535
7.53719,46.97353,"Abies alba",2025-02-14,3535
7.34007,46.97353,"Abies alba",2025-02-26,3535
9.400986,55.221803,"Abies alba",2025-03-01,24.97
13.043392,47.727886,"Abies alba",2025-03-02,5
13.041967,47.729546,"Abies alba",2025-03-02,5
13.099785,47.814458,"Abies alba",2025-03-01,NA
5.705623,58.942387,"Abies alba",2025-03-04,25
10.355168,59.460599,"Abies alba",2025-03-05,100
13.119047,47.695442,"Abies alba",2025-03-04,2
9.763732,47.488196,"Abies alba",2025-03-04,NA
12.816704,47.479559,"Abies alba",2025-03-04,25
12.726451,47.551529,"Abies alba",2025-03-08,5
13.092906,47.861253,"Abies alba",2025-03-09,12
12.708902,47.615298,"Abies alba",2025-03-08,5
12.69818,47.597408,"Abies alba",2025-03-08,5
12.747694,47.52162,"Abies alba",2025-03-08,5
12.702234,47.605908,"Abies alba",2025-03-08,5
12.728567,47.639359,"Abies alba",2025-03-08,5
12.701858,47.611955,"Abies alba",2025-03-08,5
13.092973,47.861223,"Abies alba",2025-03-09,20
12.745023,47.656332,"Abies alba",2025-03-08,5
13.266734,47.481598,"Abies alba",2025-03-09,3
6.7,53,"Abies alba",2025-03-08,5000
12.945495,47.771781,"Abies alba",2025-03-08,5
12.717558,47.558526,"Abies alba",2025-03-08,5
13.025396,47.857878,"Abies alba",2025-03-09,10
12.715956,47.621141,"Abies alba",2025-03-08,5
9.400835,55.221614,"Abies alba",2025-03-01,11.44
10.652501,59.463383,"Abies alba",2025-03-14,10
10.40727,59.30333,"Abies alba",2025-03-10,8
10.82319,59.843712,"Abies alba",2025-03-13,25
11.89949,58.2932,"Abies alba",2025-03-04,25
17.16964,59.03841,"Abies alba",2025-03-03,25
