"x"
"Asplenium petrarchae"
"Asplenium ruta-muraria"
"Asplenium seelosii"
"Asplenium septentrionale"
"Asplenium trichomanes"
"Asplenium viride"
"Aster alpinus"
"Aster linosyris"
"Aster pilosus"
"Aster squamatus"
"Aster tripolium subsp. pannonicus"
"Aster tripolium subsp. tripolium"
"Aster willkommii"
"Asteriscus maritimus"
"Asterolinon linum-stellatum"
"Astragalus baionensis"
"Astragalus balearicus"
"Astragalus danicus"
"Astragalus granatensis"
"Astragalus incanus"
"Astragalus monspessulanus"
"Astragalus muticus"
"Astragalus nevadensis subsp. muticus"
"Astragalus sempervirens subsp. catalaunicus"
"Astragalus sempervirens subsp. muticus"
"Astragalus tragacantha"
"Astragalus vesicarius"
"Astrantia major"
"Astroides calycularis"
"Astroides calycularis (GC)"
"Astroides calycularis (MA, ZE)"
"Astydamia latifolia"
"Atelerix algirus"
"Athyrium distentifolium"
"Athyrium filix-femina"
"Atractylis humilis"
"Atriplex glabriuscula"
"Atriplex glauca"
"Atriplex halimus"
"Atriplex prostrata"
"Atriplex rosea"
"Atriplex tornabenei"
"Atropa baetica"
"Aulacomnium palustre"
"Avenella flexuosa subsp. iberica"
"Avenula bromoides"
"Avenula lodunensis"
"Avenula marginata"
"Avenula murcica"
"Avenula pratensis subsp. iberica"
"Avenula pubescens"
"Axinella damicornis"
"Baldellia alpestris"
"Baldellia ranunculoides"
"Baldellia repens"
"Ballota hirsuta"
"Ballota nigra"
"Barbastella barbastellus"
"Barbatia barbata"
"Barlia robertiana"
"Bartsia alpina"
"Bassia prostrata"
"Bellis annua subsp. microcephala"
"Bellis perennis"
"Berberis hispanica"
"Berberis vulgaris subsp. australis"
"Berberis vulgaris subsp. cantabrica"
"Berberis vulgaris subsp. seroi"
"Beta maritima"
"Betula alba"
"Betula parvibracteata"
"Betula pendula subsp. fontqueri"
"Betula pubescens"
"Bidens frondosa"
"Bidens tripartita"
"Bifurcaria bifurcata"
"Bifurcaria bifurcata (MG, AW, AE, SPV)"
"Biscutella atropurpurea"
"Biscutella glacialis"
"Biscutella pyrenaica"
"Biscutella segurae"
"Blackstonia perfoliata"
"Blysmus compressus"
"Bolboschoenus maritimus"
"Bombycilaena erecta"
"Borderea chouardii"
"Borderea pyrenaica"
"Botrychium lunaria"
"Brachyleptura stragulata"
"Brachypodium distachyon"
"Brachypodium phoenicoides"
"Brachypodium pinnatum"
"Brachypodium retusum"
"Brachypodium rupestre"
"Brachypodium sylvaticum"
"Brassica repanda"
"Brassica repanda subsp. confusa"
"Brassica repanda subsp. gypsicola"
"Brassica repanda subsp. latisiliqua"
"Brassica robertiana"
"Brassica tournefortii"
"Briza media"
"Briza minor"
"Bromus erectus"
"Bromus hordeaceus"
"Bromus racemosus"
"Bromus ramosus"
"Bryonia dioica"
"Bryum pseudotriquetrum var pseudotriquetrum"
"Bryum pseudotriquetrum var. pseudotriquetrum"
"Buccinulum corneum"
"Bufo bufo"
"Bufo calamita"
"Bufo spinosus"
"Bufonia macropetala"
"Bunium alpinum subsp. macuca"
"Bunium alpinum subsp. Macuca"
"Bupleurum angulosum"
"Bupleurum baldense"
"Bupleurum bourgaei"
"Bupleurum foliosum"
"Bupleurum fruticescens"
"Bupleurum fruticosum"
"Bupleurum ranunculoides"
"Bupleurum rigidum"
"Bupleurum semicompositum"
"Burhinus oedicnemus"
"Butomus umbellatus"
"Buxbaumia viridis"
"Buxus balearica"
"Cakile maritima"
"Cakile maritima subsp. integrifolia"
"Cakile maritima subsp. Integrifolia"
"Cakile maritima subsp. maritima"
"Cakile maritima subsp. Maritima"
"Calamagrostis arundinacea"
"Calamagrostis pseudophragmites"
"Calandrella rufescens"
"Calicotome intermedia"
"Calicotome spinosa"
"Caliprobola speciosa"
"Callianthemum coriandrifolium"
"Callicera rufa"
"Calliergon cuspidatum"
"Calliergonella cuspidata"
"Callitriche brutia"
"Callitriche lusitanica"
"Callitriche obtusangula"
"Callitriche palustris"
"Callitriche stagnalis"
"Calluna vulgaris"
"Caltha palustris"
"Calystegia sepium"
"Calystegia soldanella"
"Campanula adsurgens"
"Campanula erinus"
"Campanula herminii"
"Campanula hispanica"
"Campanula jaubertiana"
"Campanula latifolia"
"Campanula persicifolia"
"Campanula recta"
"Campanula rotundifolia"
"Chamaerops humilis"
"Thymelaea hirsuta"
"Phlomis purpurea"
"Cytisus malacitanus"
"Clematis cirrhosa"
"Luzula nutans"
"Adenostyles alliariae subsp. pyrenaica"
"Meconopsis cambrica"
"Fraxinus angustifolia"
"Genista hystrix"
"Quercus canariensis"
"Quercus coccifera"
"Olea sylvestris"
"Pistacia terebinthus"
"Poa bulbosa"
"Ceratonia siliqua"
"Cistus ladanifer"
"Trifolium subterraneum"
"Cistus albidus"
"Luzula forsteri"
"Olea sylvestris"
"Epipactis helleborine"
"Pyrus bourgaeana"
"Vaccinium myrtillus"
